Identifiant_Client,Marque,Usage,CSP,Puissance,Valeur,Zone_tarif,Statut_marital,Année_permis,Mode_garage,Age,Ancienneté_véhicule,Ancienneté_contrat,Type_assurance,Sinistre
1013306,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),3,3,5,Marié,1966,Oui,64,12,11,Tous risques,Aucun accident
1013347,Renault,Privé & trajet travail,Employés (E),9,8,3,Inconnu,2002,Oui,43,11,7,Tous risques,Accident
1013757,Saab,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,5,5,Inconnu,1997,Non,36,6,15,Tous risques sérénité,Accident
1014149,Peugeot,Privé & trajet travail,Autres personnes sans activité professionnelle (APSAP),4,3,3,Célibataire,2005,Oui,25,8,7,Tiers,Accident
1014350,Fiat,Privé & trajet travail,Employés (E),6,8,5,Marié,1985,Oui,51,16,12,Tous risques,Aucun accident
1014634,Renault,Privé & trajet travail,Employés (E),8,7,2,Marié,1983,Oui,47,10,6,Tous risques,Aucun accident
1014982,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,8,3,Marié,1987,Oui,45,15,5,Tous risques,Aucun accident
1015450,Mercedes-Benz,Privé & trajet travail,Employés (E),8,6,5,Célibataire,2001,Non,31,8,6,Tous risques,Accident
1015580,Volkswagen,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,7,3,Marié,1987,Oui,59,6,11,Tous risques,Aucun accident
1015840,Renault,Privé,Retraités  (R),8,9,4,Inconnu,1978,Non,65,19,13,Tous risques,Aucun accident
1017574,Ford,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),9,12,5,Inconnu, ,Non, ,4,4,Tiers,Aucun accident
1018460,Citroën,Privé & trajet travail,Employés (E),10,12,2,Célibataire,2004,Oui,28,14,5,Tous risques sérénité,Accident
1021180,Renault,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),10,13,8,Marié,1980,Oui,51,7,5,Tous risques,Aucun accident
1021291,Renault,Privé & Professionnel,Agriculteurs exploitants (AE),4,3,1,Marié,1995,Oui,36,11,10,Tous risques sérénité,Aucun accident
1021915,Peugeot,Privé & trajet travail,Ouvriers (O),5,5,7,Marié,1984,Non,61,14,11,Tiers,Aucun accident
1022214,Alfa Romeo,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",9,11,3,Marié,1988,Oui,43,10,11,Tous risques,Aucun accident
1022521,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,6,6,Célibataire,2003,Non,30,8,4,Tous risques,Accident
1023044,Mercedes-Benz,Privé,Cadres et professions intellectuelles supérieures (CPIS),6,6,4,Marié,1969,Non,65,5,12,Tous risques,Aucun accident
1023315,Chrysler,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,7,6,Marié,1974,Non,60,21,24,Tiers,Aucun accident
1023556,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,6,5,Marié,1993,Oui,42,11,7,Tous risques sérénité,Accident
1024849,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,8,5,Marié,1992,Non,42,8,7,Tous risques,Aucun accident
1025055,Peugeot,Privé,Retraités  (R),10,10,3,Inconnu,1966,Oui,70,5,17,Tiers,Aucun accident
1025068,Citroën,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",5,5,5,Marié,1995,Oui,37,10,4,Tous risques,Accident
1026037,Fiat,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,4,3,Marié,1992,Oui,54,15,14,Tiers,Aucun accident
1026682,Peugeot,Privé & trajet travail,"Artisans, commerçants et chefs d’entreprise (ACCE)",6,7,3,Célibataire,1998,Non,34,13,4,Tous risques sérénité,Aucun accident
1027341,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),2,2,3,Marié,1999,Non,32,17,6,Tiers,Accident
1027439,Citroën,Privé,Retraités  (R),9,10,3,Marié,1970,Non,71,5,31,Tous risques sérénité,Aucun accident
1027976,Citroën,Privé & Professionnel,Agriculteurs exploitants (AE),6,5,3,Célibataire,1970,Oui,76,5,25,Tous risques sérénité,Accident
1028116,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,3,5,Célibataire,2002,Non,29,12,4,Tous risques sérénité,Accident
1028336,Fiat,Privé,Cadres et professions intellectuelles supérieures (CPIS),8,9,5,Marié,1988,Oui,43,11,6,Tous risques,Aucun accident
1028398,Renault,Privé,Retraités  (R),7,6,5,Marié,1978,Non,67,8,5,Tous risques,Aucun accident
1028434,Peugeot,Privé,Retraités  (R),6,5,10,Marié,1978,Oui,63,6,11,Tiers,Aucun accident
1029904,Citroën,Privé,Cadres et professions intellectuelles supérieures (CPIS),11,18,5,Célibataire,2001,Non,30,4,4,Tous risques,Aucun accident
1030199,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),3,2,3,Marié,1998,Oui,32,8,6,Tous risques,Accident
1030476,Citroën,Privé,Retraités  (R),3,4,7,Marié,1967,Non,68,15,10,Tous risques,Aucun accident
1030609,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,4,Célibataire,1998,Non,32,9,8,Tous risques sérénité,Aucun accident
1030970,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,3,4,Marié,1999,Non,37,8,9,Tiers,Accident
1032181,Volkswagen,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),9,12,4,Marié,1993,Oui,37,4,6,Tous risques,Aucun accident
1032369,Peugeot,Privé & Professionnel,Agriculteurs exploitants (AE),6,8,5,Marié,1972,Oui,83,19,6,Tous risques,Aucun accident
1032534,Fiat,Privé & trajet travail,"Artisans, commerçants et chefs d’entreprise (ACCE)",8,9,9,Marié,1992,Oui,43,11,6,Tous risques,Aucun accident
1032758,Renault,Privé & trajet travail,Employés (E),5,4, ,Célibataire,1984,Oui,47,6,6,Tiers,Aucun accident
1034201,Peugeot,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),6,4,2,Inconnu, ,Non, ,7,5,Tous risques sérénité,Aucun accident
1034954,Renault,Privé & trajet travail,"Artisans, commerçants et chefs d’entreprise (ACCE)",7,6,5,Marié,2000,Oui,49,7,7,Tous risques,Aucun accident
1034981,Citroën,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),5,5,5,Inconnu, ,Non, ,6,9,Tous risques sérénité,Aucun accident
1035055,Renault,Privé,Professions intermédiaires (PI),6,6,2,Marié,1980,Non,76,11,11,Tous risques sérénité,Aucun accident
1035604,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,3,5,Célibataire,2002,Non,28,4,10,Tous risques,Accident
1035711,Peugeot,Privé,Cadres et professions intellectuelles supérieures (CPIS),7,5,2,Marié,1986,Oui,45,5,6,Tous risques,Aucun accident
1037092,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,7,5,Célibataire,2003,Non,29,9,7,Tous risques,Accident
1037251,Citroën,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",5,4,3,Marié,1973,Oui,59,9,13,Tiers,Aucun accident
1038181,Citroën,Privé & Professionnel,Ouvriers (O),8,8,2,Marié,1964,Non,72,10,16,Tous risques sérénité,Aucun accident
1038235,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),10,13,7,Marié,1981,Non,49,8,18,Tiers,Aucun accident
1038740,Peugeot,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),6,7,2,Marié,1966,Non,68,18,36,Tous risques sérénité,Aucun accident
1038903,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,9,3,Marié,1991,Oui,56,10,5,Tous risques sérénité,Aucun accident
1039137,Peugeot,Privé,Retraités  (R),7,7,3,Inconnu,1968,Oui,82,4,14,Tous risques sérénité,Aucun accident
1039172,Fiat,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),9,12,5,Marié,1986,Oui,52,5,16,Tous risques,Aucun accident
1039270,Chrysler,Privé,Cadres et professions intellectuelles supérieures (CPIS),11,15,5,Marié,1989,Non,44,6,7,Tous risques,Accident
1039488,Ford,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,5,5,Divorcé,1994,Non,36,6,4,Tous risques,Aucun accident
1041819,Alfa Romeo,Privé,Retraités  (R),9,12,3,Marié,1980,Oui,61,8,4,Tous risques,Aucun accident
1041893,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,2,8,Marié,1973,Non,60,24,4,Tiers,Aucun accident
1042583,Ford,Privé,Employés (E),8,9,3,Marié,1986,Oui,50,7,8,Tous risques,Aucun accident
1042728,Saab,Privé,Professions intermédiaires (PI),10,11,5,Divorcé,1967,Non,73,8,8,Tous risques sérénité,Aucun accident
1042938,Renault,Privé & trajet travail,Employés (E),4,3,2,Marié,1976,Non,59,12,14,Tous risques,Aucun accident
1043211,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,6,2,Marié,2002,Oui,28,6,5,Tous risques sérénité,Accident
1044922,Ford,Privé & Professionnel,Employés (E),6,7,10,Célibataire,1984,Non,61,4,12,Tiers,Accident
1044923,Peugeot,Privé & Professionnel,Ouvriers (O),5,5,3,Marié,1975,Oui,69,12,13,Tous risques,Aucun accident
1044951,Renault,Privé & trajet travail,Employés (E),8,7,5,Marié,1983,Oui,48,8,17,Tous risques,Aucun accident
1045166,Peugeot,Privé & trajet travail,Employés (E),6,6,7,Célibataire,1992,Oui,38,8,6,Tous risques,Aucun accident
1045240,Peugeot,Privé,Professions intermédiaires (PI),7,6,4,Célibataire,2002,Non,30,12,10,Tiers,Accident
1045413,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,5,2,Marié,1986,Non,45,9,12,Tous risques sérénité,Aucun accident
1045581,Renault,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",4,4,3,Marié,1980,Non,51,13,6,Tous risques,Aucun accident
1045616,Fiat,Privé & Professionnel,Ouvriers (O),7,12,4,Inconnu,1989,Non, ,5,5,Tiers,Aucun accident
1045719,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),3,4,3,Marié,1992,Oui,41,16,12,Tous risques,Aucun accident
1045962,Chrysler,Privé & trajet travail,Employés (E),10,15,6,Marié,1999,Oui,45,10,11,Tous risques sérénité,Accident
1046968,Saab,Privé & trajet travail,Employés (E),5,11,6,Inconnu,1998,Oui, ,15,6,Tous risques sérénité,Accident
1047313,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),3,5,2,Marié,1998,Non,33,17,14,Tous risques,Aucun accident
1047913,Fiat,Privé,Retraités  (R),5,5,7,Marié,1975,Oui,64,5,8,Tous risques sérénité,Aucun accident
1048115,Volkswagen,Privé,Cadres et professions intellectuelles supérieures (CPIS),6,5,7,Marié,1995,Oui,40,10,5,Tous risques sérénité,Aucun accident
1048827,Ford,Privé & trajet travail,Autres personnes sans activité professionnelle (APSAP),7,7,6,Célibataire,2004,Oui,27,7,5,Tous risques,Accident
1048920,Renault,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",5,5,2,Marié,2001,Oui,30,7,4,Tiers,Aucun accident
1050315,Citroën,Privé,Professions intermédiaires (PI),6,6,2,Marié,1998,Oui,36,39,4,Tous risques,Accident
1050351,Renault,Privé,Professions intermédiaires (PI),10,11,2,Marié,1972,Oui,58,12,8,Tous risques,Aucun accident
1051063,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,5,Marié,1978,Non,52,8,4,Tiers,Aucun accident
1051274,Porsche,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",7,7,3,Marié,1977,Oui,53,9,5,Tous risques,Aucun accident
1051313,Renault,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",3,4,4,Marié,1972,Oui,64,7,21,Tous risques,Aucun accident
1051601,Renault,Privé & Professionnel,Agriculteurs exploitants (AE),7,7,3,Célibataire,1977,Oui,57,15,4,Tous risques,Aucun accident
1052416,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,8,3,Marié,1991,Oui,41,15,9,Tous risques,Aucun accident
1052459,Peugeot,Privé,Employés (E),6,5,4,Marié,1975,Oui,59,7,10,Tiers,Aucun accident
1052811,Ford,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,8,5,Marié,1997,Oui,33,6,7,Tous risques,Aucun accident
1052929,Citroën,Privé,Professions intermédiaires (PI),1,2,3,Marié,1997,Non,33,25,6,Tous risques,Aucun accident
1053048,Renault,Privé & Professionnel,Agriculteurs exploitants (AE),5,4,5,Marié,2000,Oui,33,8,5,Tiers,Accident
1053690,Renault,Privé & trajet travail,Employés (E),6,5,3,Célibataire,1989,Non,42,12,5,Tous risques sérénité,Aucun accident
1053761,Fiat,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,12,4,Célibataire,1999,Oui,34,15,7,Tous risques,Aucun accident
1054354,Peugeot,Privé & Professionnel,Agriculteurs exploitants (AE),4,4,5,Marié,1971,Oui,73,19,21,Tous risques,Aucun accident
1054506,Renault,Privé,Retraités  (R),8,11,2,Marié,1987,Non,42,12,7,Tous risques,Aucun accident
1055183,Peugeot,Privé & trajet travail,Autres personnes sans activité professionnelle (APSAP),7,7,6,Célibataire,2006,Oui,28,7,6,Tous risques,Accident
1055344,Fiat,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,8,5,Marié,1992,Non,47,15,8,Tous risques sérénité,Aucun accident
1055891,Ford,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,9,2,Marié,1993,Oui,38,8,8,Tiers,Aucun accident
1057145,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),9,10,5,Marié,1984,Oui,51,6,15,Tous risques sérénité,Aucun accident
1057861,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,9,2,Marié,1984,Oui,47,8,15,Tiers,Aucun accident
1057895,Fiat,Privé & trajet travail,Employés (E),8,8,4,Marié,1998,Non,35,8,4,Tous risques,Aucun accident
1058339,Renault,Privé & Professionnel,Ouvriers (O),2,3,2,Marié,1985,Oui,45,16,6,Tous risques sérénité,Aucun accident
1058543,Renault,Privé,Cadres et professions intellectuelles supérieures (CPIS),3,4,2,Marié,1996,Non,36,21,4,Tiers,Aucun accident
1058587,Renault,Privé & Professionnel,Agriculteurs exploitants (AE),3,5,2,Marié,1974,Non,61,17,12,Tiers,Aucun accident
1058801,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,6,2,Célibataire,1996,Oui,38,22,5,Tous risques,Accident
1058894,Peugeot,Privé & Professionnel,Agriculteurs exploitants (AE),6,6,3,Marié,1981,Non,61,11,9,Tiers,Aucun accident
1059920,Renault,Privé,Professions intermédiaires (PI),5,3,3,Marié,1991,Oui,54,4,4,Tous risques,Aucun accident
1059944,Renault,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",3,3,8,Inconnu, ,Non, ,10,11,Tous risques sérénité,Aucun accident
1060002,Renault,Privé,Professions intermédiaires (PI),5,6,7,Marié,1977,Oui,53,15,5,Tous risques sérénité,Aucun accident
1060249,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,7,7,Marié,1991,Non,42,9,4,Tiers,Aucun accident
1060660,Ford,Privé,Retraités  (R),6,10,4,Marié,1960,Oui,72,12,28,Tous risques sérénité,Aucun accident
1061023,Citroën,Privé,Retraités  (R),11,13,2,Marié,1992,Non,71,4,15,Tous risques,Aucun accident
1061419,Saab,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),10,12,5,Marié,1984,Oui,46,8,4,Tous risques,Aucun accident
1062100,Renault,Privé & Professionnel,Ouvriers (O),7,6,4,Célibataire,1989,Non,42,6,22,Tous risques,Aucun accident
1062362,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,5,Marié,2003,Oui,35,5,6,Tiers,Aucun accident
1062384,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,8,2,Marié,1998,Oui,33,15,7,Tous risques,Aucun accident
1062610,Ford,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),8,10,3,Célibataire,2000,Oui,29,7,6,Tiers,Accident
1063906,Renault,Privé & Professionnel,Professions intermédiaires (PI),8,8,9,Célibataire,1994,Oui,39,5,6,Tous risques sérénité,Aucun accident
1063981,Renault,Privé & Professionnel,Agriculteurs exploitants (AE),4,3,2,Marié,1967,Oui,30,9,12,Tous risques,Aucun accident
1064771,Fiat,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),10,11,4,Marié,1993,Oui,45,14,5,Tous risques,Aucun accident
1064891,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,5,Marié,1987,Oui,43,11,5,Tous risques,Aucun accident
1065014,Citroën,Privé & Professionnel,Agriculteurs exploitants (AE),7,6,3,Marié,1954,Oui,76,6,6,Tous risques,Aucun accident
1065135,Peugeot,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),11,12, ,Marié,1969,Oui,64,5,10,Tous risques,Aucun accident
1065150,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),9,10,3,Marié,1998,Oui,34,12,4,Tiers,Accident
1066238,Ford,Privé & Professionnel,Cadres et professions intellectuelles supérieures (CPIS),6,9,6,Inconnu, ,Non, ,10,4,Tiers,Aucun accident
1066359,Citroën,Privé,Professions intermédiaires (PI),1,2,6,Marié,1982,Non,57,25,11,Tous risques,Accident
1066920,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,10,3,Marié,1981,Oui,50,14,5,Tous risques sérénité,Aucun accident
1068253,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),2,3,2,Célibataire,1996,Non,34,16,12,Tous risques sérénité,Aucun accident
1068697,Fiat,Privé & Professionnel,"Artisans, commerçants et chefs d’entreprise (ACCE)",7,16,5,Célibataire,1997,Non,36,17,15,Tiers,Accident
1069495,Renault,Privé & trajet travail,Professions intermédiaires (PI),4,5,3,Célibataire,1991,Non,47,19,9,Tiers,Aucun accident
1071845,Citroën,Privé & trajet travail,Employés (E),6,5,2,Marié,1992,Non,38,18,6,Tiers,Aucun accident
1072785,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,2,2,Marié,1993,Oui,36,8,5,Tous risques sérénité,Accident
1073265,Toyota,Privé,Retraités  (R),11,18,3,Marié,1961,Oui,74,4,21,Tous risques sérénité,Aucun accident
1074096,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),2,2,2,Marié,1973,Oui,58,23,4,Tous risques,Aucun accident
1075955,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,2,2,Célibataire,2000,Non,33,10,7,Tous risques,Accident
1076233,Toyota,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),11,15,4,Marié,1997,Oui,44,12,9,Tiers,Aucun accident
1076303,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,8,5,Marié,1994,Oui,37,11,14,Tous risques,Aucun accident
1078975,Fiat,Privé,Retraités  (R),4,4,3,Marié,1993,Non,39,12,7,Tous risques sérénité,Aucun accident
1079459,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,7,5,Marié,1983,Oui,48,5,10,Tous risques,Aucun accident
1079499,Peugeot,Privé & Professionnel,Professions intermédiaires (PI),6,4,3,Inconnu, ,Non, ,7,10,Tiers,Aucun accident
1080203,Ford,Privé & trajet travail,Employés (E),7,9,6,Marié,1983,Non,55,5,5,Tiers,Aucun accident
1080429,Autres,Privé,Cadres et professions intellectuelles supérieures (CPIS),11,18,8,Marié,1984,Oui,48,12,5,Tous risques,Accident
1080661,BMW,Privé & trajet travail,Employés (E),5,5,7,Célibataire,1992,Non,40,5,9,Tous risques sérénité,Aucun accident
1080690,Audi,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),9,9,3,Célibataire,2005,Non,40,10,7,Tiers,Aucun accident
1080871,Renault,Privé & trajet travail,Employés (E),6,6, ,Marié,2004,Non,34,26,5,Tous risques,Accident
1081590,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),3,4,3,Célibataire,2000,Non,30,18,5,Tous risques,Accident
1082327,Chrysler,Privé,Retraités  (R),11,18,3,Marié,1965,Oui,68,5,5,Tous risques,Aucun accident
1083124,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,4,Marié,2002,Oui,29,11,4,Tiers,Accident
1083343,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,9,4,Célibataire,1993,Non,37,5,5,Tous risques sérénité,Aucun accident
1083403,Volkswagen,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,10,5,Marié,1988,Non,46,13,13,Tiers,Aucun accident
1083423,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,5,Marié,1969,Oui,63,4,16,Tous risques,Aucun accident
1084046,Citroën,Privé,Retraités  (R),2,2,2,Marié,1969,Non,68,25,19,Tiers,Aucun accident
1084709,Mazda,Privé,Employés (E),7,7,1,Marié,1979,Non,51,16,15,Tous risques,Aucun accident
1084981,Citroën,Privé,Cadres et professions intellectuelles supérieures (CPIS),11,12,4,Inconnu,1971,Oui,64,7,4,Tiers,Aucun accident
1088039,Ford,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,5,6,Inconnu,1985,Non,46,15,13,Tous risques,Aucun accident
1088481,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,2,Marié,1981,Oui,54,9,4,Tous risques sérénité,Accident
1088799,Volkswagen,Privé,Retraités  (R),5,6,7,Marié,1972,Non,64,9,7,Tous risques sérénité,Aucun accident
1088866,Peugeot,Privé,Retraités  (R),6,5,2,Marié,1998,Non,74,14,5,Tous risques sérénité,Accident
1089719,Renault,Privé & Professionnel,Agriculteurs exploitants (AE),5,4,3,Inconnu,1964,Oui, ,11,11,Tous risques,Aucun accident
1089872,Fiat,Privé,Professions intermédiaires (PI),5,6,2,Inconnu,1984,Non,49,8,18,Tous risques sérénité,Aucun accident
1090103,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),10,14,2,Célibataire,1999,Non,31,12,5,Tous risques,Accident
1091601,Renault,Privé,Employés (E),6,6,2,Marié,1990,Non,63,13,13,Tous risques,Aucun accident
1091753,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),4,2,2,Célibataire,1977,Oui,55,10,11,Tous risques,Aucun accident
1092238,Citroën,Privé & trajet travail,Employés (E),7,7,4,Célibataire,2003,Oui,28,6,5,Tous risques,Aucun accident
1092598,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,7,7,Célibataire,1998,Oui,32,6,5,Tiers,Accident
1093213,Citroën,Privé,Retraités  (R),10,12,2,Marié,1960,Non,75,4,14,Tous risques,Aucun accident
1093314,Renault,Privé,Retraités  (R),7,5,7,Marié,1981,Oui,76,5,31,Tous risques,Aucun accident
1093782,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,7,3,Célibataire,1992,Oui,39,7,6,Tous risques sérénité,Aucun accident
1093952,Volkswagen,Privé & trajet travail,Employés (E),4,3,4,Célibataire,1999,Non,31,8,13,Tous risques sérénité,Aucun accident
1095671,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,3,3,Célibataire,1998,Oui,33,10,5,Tous risques,Accident
1095739,Peugeot,Privé,Cadres et professions intellectuelles supérieures (CPIS),5,4,7,Marié,1976,Oui,59,10,5,Tiers,Accident
