ID;What do you like most about this portable music player?;What do you like least about this portable music player?;Age;Gender;Music;Activity
329;Size;incompatiability;25-34;Male;Other;Traveling
332;it plays music;the batteries run out;25-34;Male;Other;Traveling
334;I like the well-designed interface and large capacity.;It's expensive.;<18;Male;Rock;Relaxing
336;looks cool;screen is easy to scratch;25-34;Female;Folk;Traveling
337;it looks cool, I like gadgets and I like having all my music with me on long car trips;the battery runs out.;35-44;Male;R&B;Traveling
339;It is small and yet has good sound quality.;I have to pay for songs that I already have on CD.;>54;Female;Jazz;Other
343;No skipping of tracks when I move.;Low battery life and everyone else has one.;18-24;Female;Other;Traveling
344;easy to operate, light weight, lot of memory space;nothing;25-34;Female;Other;Traveling
350;It has so much storage!;Nothing. I love everything about it.;25-34;Female;Classical;Traveling
351;Product A is small but with a large capacity for tracks;not as small as newer versions of other products;35-44;Male;Other;Traveling
352;It is pretty;Nothing;18-24;Female;Other;Traveling
353;It's puny and easy to carry;I have Product A and it doesn't give me options for controlling the order of play.;45-54;Female;Jazz;Working
358;The massive amount of storage capacity as well as the ease of use are the primary factors. I also like the sleek look of the product.;Can't show video on the device but new ones can. Cost is too high.;35-44;Male;Rock;Traveling
359;Big capacity! Nice design and easy to use.;Cost is too much. Can't play video but the new ones can.;35-44;Male;Rock;Traveling
360;It is nicely designed with great features that are easy to use. The large 60GB capicity is wonderful! I love the color screen.;Cost is very high. Wish it could play video like the newer model.;35-44;Male;Rock;Traveling
362;"Design perfection; visually attractive, slim, lightweight. Big hard drive";LED screen hard to read.;35-44;Male;Classical;Working
363;It's large enough to hold all my music and the battery lasts forever;It was expensive;25-34;Female;Other;Traveling
364;color;size;18-24;Female;Other;Working
367;The size;The battery life;25-34;Male;Jazz;Working
368;portable, light small powerful;battery life, some popular music formats cannot be played;18-24;Male;R&B;Traveling
369;conveniance to listen to my music wherever I am. It is able to store all my music so i have whatever i want when i want it.;it was expensive;25-34;Male;Rap;Traveling
371;convenient size;new batteries are expensive;35-44;Female;Rock;Working
372;it's compact. i can store loads of songs on it.;no complaints.;25-34;Female;Rock;Traveling
373;easy to use;I had to get it repaired;18-24;Female;R&B;Traveling
383;light;broke three time within first 6 months, need to be replaced. quality is poor;35-44;Male;Other;Traveling
386;it holds alot of songs and is good quality;hard to find the songs you want to listen to;18-24;Female;Rock;Traveling
387;It stores lots of music, easy to use and good sound quality.;not much;25-34;Male;Other;Traveling
390;The number of tracks that it holds;Transfering tracks to device and categorising;35-44;Male;Blues;Traveling
392;its small and convenient;non rechargable battery;>54;Male;Country;Relaxing
396;Easy to carry;color;35-44;Male;Country;Traveling
397;Small and stylish;Very short battery life;35-44;Male;Rock;Traveling
398;Small, fairly cheap;Random song order and small memory capacity;45-54;Male;R&B;Traveling
401;Can store lots of music. Is easy to use.;Battery life.;>54;Male;Classical;Relaxing
402;It's capacity and ease of use.;Doesn't hold up to casual abuse.;25-34;Male;Rock;Traveling
403;can take it anywhere;nothing;35-44;Female;Blues;Traveling
19;Others think it is cool and it sounds great.;I find the controls hard to use.;<18;Female;Rap;Working
31;Its portability enables me to listen to my music while I am milking cows and working in the fields.;I think that it could be lighter and less expensive. And longer battery life.;>54;Female;Country;Traveling
66;Convenience of storing all my music in one device;It's somewhat bulky;25-34;Male;Other;Traveling
72;Portable and durable;not enough space on it;>54;Male;Folk;Traveling
121;Storage capacity (40GB);Size;25-34;Male;Other;Working
122;Compact and waterproof;size;35-44;Male;R&B;Other
125;it was free;can only hold about 16 songs;25-34;Female;Rock;Other
137;The size;The menus are hard to get to;25-34;Female;Country;Studying
143;its cost;low battery life;35-44;Male;Folk;Traveling
171;It holds all 6 of my Classical music CD's.;Its a little bit too big.;>54;Male;Classical;Traveling
184;Not having to drag my CDs around with me;Sound quality not too impressive;35-44;Female;Country;Traveling
191;I don't have to carry around CDs.;It doesn't look at cool as Product A.;<18;Female;Jazz;Relaxing
198;I like it because I can hear the music clearly.;I wish it had longer battery life.;45-54;Female;Folk;Traveling
212;good mobillity;poor menu system;45-54;Male;Classical;Working
213;Its compact size;Its battery life.;45-54;Male;Rock;Studying
221;Makes me feel young again!;I don't understand all of the buttons.;>54;Female;Blues;Traveling
232;inexpensive, has FM radio;doesn't list tracks;45-54;Male;Country;Traveling
245;Multiple formats. Big hard disk. Good battery life and recharge speed. Good download speed.;Controls can be a bit fiddly and not quite as cool as Product A;18-24;Male;Other;Traveling
253;great sound;difficult controls;45-54;Male;Rock;Traveling
258;"Small size; large capacity; easy to use";A bit cheap-looking;45-54;Male;Rock;Traveling
259;Its size means I can listen to it while working.;I can't hear when someone talks to me.;25-34;Male;Other;Working
270;Sound quality.;It came with a bunch of lame songs loaded.;18-24;Male;Rock;Studying
273;Nothing;It does not sound very good but my folks won't buy me a new one so I'm stuck with it;<18;Female;Blues;Studying
281;I can access it using different computers. It's also very compact for travelling.;I hate that it doesn't have a colour screen;25-34;Female;Rock;Traveling
302;Great sound.;A bit bigger than some of the newer devices.;35-44;Female;Other;Traveling
303;the fact that it can be charged up and I don't need to carry CDs as all the music is loaded on it already.;It is quite heavy. I have to load all the music onto the computer first then download it onto the device which is a bit of a pain.;25-34;Female;Rock;Relaxing
304;music catalogue is better than others;too big;25-34;Male;Folk;Working
311;size and weight;half-baked software;25-34;Male;Other;Traveling
