ID|Comments|CHURN
1379|He is really unhappy with his bill. He says that there are numerous calls he has never made, but that show up on his phone. He says that he simply does not trust our system.|Current
1333|He does not know if the problems are related to the phone or if it is just the battery.|Vol
2659|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
690|Hopes to get an additonal line working by the end of the week for his wife.|Current
2608|Said his battery never has worked well. Wants a new phone ASAP.|Current
2775|Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he phone does not work well.|Current
2851|Said his battery never has worked well. Wants a new phone ASAP.|Vol
587|He asked for a new phone number. I referred him to customer care.|Current
3056|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
1246|The handset really sucked. I could not hear anything near my house.|Vol
1307|Handset sucked|Current
1166|Hopes to get an additonal line working by the end of the week for his wife.|Current
2584|Asked how to disable call waiting. referred him to web site.|Vol
1225|Wanted to know the nearest store location. Wants to buy additional accessories.|Vol
3409|I suspect that the handset on my phone was defective from the day I bought it.|Current
1808|The reception near his home is really horrible. He knows exactly when his calls will drop. He wants to know what we are going to do to fix this? He says that if we do not fix it he will go to a different cell company and since we can not keep our end of t|Vol
3180|He hates his phone. He can not understand why we gave him such a horrible "piece of rubbish". I tried to explain that he could bring it in for service, but he just wants a new phone. He does not want to waste any more time with the 3399. I asked customer car|Current
1499|Needed help figuring out his bill. I explained our minute charges.|Vol
772|I expected significantly better service.|Current
442|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
1646|Wants to change adress.|Current
2236|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
1782|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
1148|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Current
916|Wants to add another phone. Contacting provisioning.|Vol
488|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
2341|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Current
1360|can't figure out how to check his vm when out of area. I referred him to our web site.|Current
140|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Vol
827|Wanted to know the nearest store location. Wants to buy additional accessories.|Vol
1085|transferred to manager ASAP|Vol
1110|Really wants the new phone from XVYX which has the PDA built in.|Current
1282|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
983|Needed help figuring out his bill. I explained our minute charges.|Current
2909|Hopes to get an additonal line working by the end of the week for his wife.|Vol
3300|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
2611|Lost his charger and wants to know where he can another ASAP. I suggested local store.|Vol
3002|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
2993|Asked about how to change his ring tones. Referred him to web site.|Current
1779|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
1448|Asked about how to change his ring tones. Referred him to web site.|Current
3420|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
1645|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Vol
900|Wants to know how to do text messaging. Referred him to web site.|Current
2140|I needed a handset which also functioned as a PDA. You did not offer such a model.|Current
1087|He expected significantly better Technical Support.|Vol
3716|He expected significantly better Technical Support.|Vol
3156|Wants to add another phone. Contacting provisioning.|Current
2485|Asked about how to change his ring tones. Referred him to web site.|Current
719|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
2771|Needed help figuring out his bill. I explained our minute charges.|Vol
3725|Asked about how to change his ring tones. Referred him to web site.|Current
3785|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Vol
782|She wants a new phone. Has tried to use a couple of different model, but is now "fed up". She is will ing to pay some of the cost, but wants a credit on her bill. She said her friend has the same service and a different phone that works great. She also wa|Current
2891|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
2414|The signal on my handset was always weak. Even when I replaced the battery.|Current
1346|transferred to manager ASAP|Vol
2082|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Vol
1277|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
954|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
1018|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
83|Said his battery never has worked well. Wants a new phone ASAP.|Vol
36|Said his battery never has worked well. Wants a new phone ASAP.|Vol
1119|He asked for a new phone number. I referred him to customer care.|Current
239|Wanted to know the nearest store location. Wants to buy additional accessories.|Vol
3676|Lost the directions to phone and wants another manual. I referred him to web site.|Current
1831|He does not know if the problems are related to the phone or if it is just the battery.|Vol
2516|Called about new plan. Might switch soon. Wants more minutes.|Current
3207|Wants to know how to do text messaging. Referred him to web site.|Current
2624|Said his battery never has worked well. Wants a new phone ASAP.|Current
803|Very unhappy with new phone because it does not use a simm chip. He says he wll have to reenter all his information in his phone book and he finds that a waste of time. Claims other companies use simm to make this easier with their phones.|Vol
2963|Wants to know how to do text messaging. Referred him to web site.|Current
1545|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
626|Wants to add additional lines for family. Needs more info on rates.|Vol
2185|Wants to know how to do text messaging. Referred him to web site.|Current
3416|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
560|Asked how to disable call waiting. referred him to web site.|Vol
473|Needed help figuring out his bill. I explained our minute charges.|Current
3430|Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.|Vol
2247|Called about new plan. Might switch soon. Wants more minutes.|Current
2672|He hates his phone. He can not understand why we gave him such a horrible "piece of rubbish". I tried to explain that he could bring it in for service, but he just wants a new phone. He does not want to waste any more time with the 3399. I asked customer car|Current
2855|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Vol
3631|Hopes to get an additonal line working by the end of the week for his wife.|Current
3118|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Current
1229|Really wants the new phone from XVYX which has the PDA built in.|Vol
3301|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
198|Wants information on our Internet service. Referred him to web site.|Vol
3170|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
2460|Wants a new faceplate.|Current
3261|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
1465|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
1851|Wanted to know the nearest store location. Wants to buy additional accessories.|Vol
3451|Wants to know how to do text messaging. Referred him to web site.|Current
3541|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Vol
791|The customer has a number of complaints. His major issue was that the handset buttons were hard to use. He was not happy with the phone at all.|Current
1098|Really wants the new phone from XVYX which has the PDA built in.|Current
743|The handset never worked well after I dropped it in the toilet. I am surprised it ever worked after that.|Current
1377|He says that his phone works fine when using it in the car with the adapter, but the battery performance sucks. He can not wait to change phones. He wanted to know if we would send him a new phone.|Current
1770|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
3769|Needed help figuring out his bill. I explained our minute charges.|Current
2175|can't figure out how to check his vm when out of area. I referred him to our web site.|Current
779|Says that his Web reception really is just to slow. Wants to know when he can expect this to work at a decent rate of speed? He also wants to know why it worked so much better at the store?|Current
3084|Asked how to disable call waiting. referred him to web site.|Current
574|He says that his phone works fine when using it in the car with the adapter, but the battery performance sucks.|Current
2992|Wants a new faceplate.|Current
931|Asked about how to change his ring tones. Referred him to web site.|Vol
2393|Wants to get an additional line working by the end of the week. Forwarded him on to cstmr care.|Current
3303|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
741|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
2267|Really is unhappy with the website. Claims the self service stuff does not work.|Vol
577|Claims the phone does not work well. If the phone does not work consistently why should he pay consisitently. Good point.|Vol
3165|I suspect that the handset on my phone was defective from the day I bought it.|Current
2144|I suspect that the handset on my phone was defective from the day I bought it.|Current
686|Asking for a change of address and wants to switch plans. Transeffered him to customr care.|Vol
339|Handset sucked|Current
418|Wants a new faceplate.|Current
1104|He asked for a new phone number. I referred him to customer care.|Current
3712|I expected significantly better Technical Support.|Vol
2275|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
3272|Wants to add additional lines for family. Needs more info on rates.|Vol
3767|Needed help figuring out his bill. I explained our minute charges.|Current
3481|Asked about how to change his ring tones. Referred him to web site.|Current
3441|He found a phone and wanted to know what to do with it. He said it was one of ours, but that the battery was dead. Asked who he should send it too.|Vol
2565|Wants to get an additional line working by the end of the week for his goat.|Current
3035|Needed help figuring out his bill. I explained our minute charges.|Current
114|Wants to add additional lines for family. Needs more info on rates.|Vol
3705|I expected significantly better Technical Support.|Vol
3078|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
1547|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
398|Wants to know how to do text messaging. Referred him to web site.|Vol
1190|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Vol
3077|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
984|Needed help figuring out his bill. I explained our minute charges.|Vol
11|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
2875|Lost his charger and wants to know where he can another ASAP. I suggested local store.|Vol
2912|Wants to add another phone. Contacting provisioning.|Current
88|Really wants the new phone from XVYX which has the PDA built in.|Current
797|Does not like the way the phone works. It is to difficult compared to his last phone.|Current
1516|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
1|Asked about how to change his ring tones. Referred him to web site.|Vol
1004|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
2359|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
2924|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
336|can't figure out how to check his vm when out of area. I referred him to our web site.|Current
707|He wanted credit for all these dropped calls. I told him I would pass him onto a supervisor. He was really rude and very upset. Said he could not use us for business purposes because of our useless service.|Vol
1279|I wished the handset was bigger. It is uncomfortable using the handset for a long time.|Vol
3411|Wanted to know the nearest store location. Wants to buy additional accessories.|Vol
1865|Said his battery never has worked well. Wants a new phone ASAP.|Vol
2240|Wants to change rate plans to get family all on same bill. I transferred him to cstmer care.|Vol
3152|Hopes to get an additonal line working by the end of the week for his wife.|Current
2978|Wants to add another phone. Contacting provisioning.|Vol
2864|Wants to add additional lines for family. Needs more info on rates.|Vol
572|I expected significantly better Technical Support.|Vol
3011|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
2150|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
1352|He asked for a new phone number. I referred him to customer care.|Current
1619|Said his battery never has worked well. Wants a new phone ASAP.|Vol
1588|He expected significantly better Technical Support.|Vol
759|The clearity of the calls was bad. Way too much static on the handset.|Vol
591|Said his battery never has worked well. Wants a new phone ASAP.|Vol
2503|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
3015|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Current
2273|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
2326|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Vol
1361|He found a phone and wanted to know what to do with it. He said it was one of ours, but that the battery was dead. Asked who he should send it too.|Vol
1069|Asked how to disable call waiting. referred him to web site.|Vol
120|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Current
3739|Wants to know how to do text messaging. Referred him to web site.|Current
2117|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Vol
652|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Vol
3677|Asked about coverage in Los Angeles and New York. Is afraid that he will be out of network when traveling.|Current
298|Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.|Vol
2619|Wants to add additional lines and phones for his kids. I created the ticket, but don't kno when someone will get back to him. He asked if I could get back to him.|Current
1934|Wants to know how to do text messaging. Referred him to web site.|Vol
2027|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
3387|Hopes to get an additonal line working by the end of the week for his wife.|Current
3795|Wanted to know the nearest store location. Wants to buy additional accessories.|Vol
1492|Wants to change address.|Current
530|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
598|Really wants the new phone from XVYX which has the PDA built in.|Current
1584|Asked how to disable call waiting. referred him to web site.|Vol
845|transferred to manager ASAP|Current
3177|The handset reception was worse than abysmal.|Current
2347|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Vol
2501|Wants to know how to do text messaging. Referred him to web site.|Vol
2064|Asked how to disable call waiting. referred him to web site.|Vol
1879|Does not like the way the phone works. It is to difficult compared to his last phone.|Current
2061|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
2216|Asked about how to change his ring tones. Referred him to web site.|Current
247|The clearity of the calls was bad. Way too much static on the handset.|Vol
1954|Wants a new faceplate.|Current
1162|Wants to change address.|Current
281|Your customer handset was really bad. I had to wait forever to get help.|Current
1127|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Current
2109|Needs help with basic phone usage. I suggested he go back to the store and ask for some help.|Current
1806|She wants a new phone. Has tried to use a couple of different model, but is now "fed up". She is will ing to pay some of the cost, but wants a credit on her bill. She said her friend has the same service and a different phone that works great. She also wa|Current
2410|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
1943|Wants information on our Internet service. Referred him to web site.|Current
2574|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
74|Really wants the new phone from XVYX which has the PDA built in.|Current
1676|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Vol
3012|Wants to change rate plans to get family all on same bill. I transferred him to cust-omer care.|Vol
2490|Asked about how to change his ring tones. Referred him to web site.|Current
3467|Needed help figuring out his bill. I explained our minute charges.|Current
1647|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Vol
1151|Lost his charger and wants to know where he can another ASAP. I suggested local store.|Vol
1398|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
2529|Needed help figuring out his bill. I explained our minute charges.|Vol
1737|Wanted to know the nearest store locatn. Wants to buy additional accessories.|Vol
181|Wants to get an additional line working by the end of the week. Forwarded him on to customer care.|Current
3527|Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he phone does not work well.|Current
2306|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
1760|The handset really sucked. I could not hear anything near my house.|Vol
3243|Asked about how to change his ring tones. Referred him to web site.|Vol
1292|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
1267|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
3379|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
351|He called and said someone stole his phone last week, but he did not notice until today. He does not want to pay for any calls made during the last week. I switched him to the supervisor after telling him our policy.|Current
169|Needed help figuring out his bill. I explained our minute charges.|Vol
2729|Asked about how to change his ring tones. Referred him to web site.|Current
2436|Lost the directions to phone and wants another manual. I referred him to web site.|Current
2658|The signal on my handset was always weak. Even when I replaced the battery.|Current
1274|He claims his bill always seemed to have calls he did not make.|Current
3348|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Vol
1017|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
414|Wants a new faceplate.|Current
2036|Wanted to know the nearest store lctn. Wants to buy additional accessories.|Current
1625|Said his battery never has worked well. Wants a new phone ASAP.|Vol
737|Is it possible that the handset is causing brain cancer. I heard about this from the news.|Current
2173|He asked for a new phone number. I referred him to customer care.|Current
2932|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
1491|Wants to change address.|Current
3363|Lost his charger and wants to know where he can another ASAP. I suggested local store.|Vol
305|He really thinks the reception is inadequate everywhere but on the highway. Wants to know when this will be fixed?|Vol
2853|Said his battery never has worked well. Wants a new phone ASAP.|Vol
3382|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Vol
2644|Hopes to get an additonal line working by the end of the week for his wife.|Current
1159|Claims he never received his bill. Was really unhappy that I asked him for his cc. Wanted me to turn on his phone. I switched him ot the manager.|Vol
1118|He expected significantly better Technical Support.|Vol
1672|Getting really bad reception with his handset. Hopes this will improve in the near future. Wants to know if this would improve if he switched to 3g.|Current
2558|Needs help with basic phone usage. I suggested he go back to the store and ask for some help.|Vol
1522|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
18|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
2301|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
1757|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
45|Asked how to disable call waiting. referred him to web site.|Vol
913|Wants to know how to do text messaging. Referred him to web site.|Current
270|She wants a new phone. Has tried to use a couple of different model, but is now "fed up". She is will ing to pay some of the cost, but wants a credit on her bill. She said her friend has the same service and a different phone that works great. She also wa|Current
1409|Handset sucked|Current
2068|Asked how to disable call waiting. referred him to web site.|Vol
2570|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
2260|Needed help figuring out his bill. I explained our minute charges.|Current
1171|Needs help with basic phone usage. I suggested he go back to the store and ask for some help.|Current
3806|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
2029|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
1897|He hated the phone. Claims that the reception is horrible in many parts of the metropolitian area.|Vol
3699|He expected significantly better Technical Support.|Vol
795|Handset sucked|Current
1281|I had a terrible time with the handset. It really did not work well.|Current
1133|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Vol
2756|Called about new plan. Might switch soon. Wants more minutes.|Current
1253|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
1311|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
974|Wants to add additional lines for family. Needs more info on rates.|Vol
1099|He asked for a new phone number. I referred him to customer care.|Current
2714|Wants to add another phone. Contacting provisioning.|Vol
1350|transferred to manager ASAP|Vol
2654|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
1749|He is really upset with out false advertising. He thinks that we do not test any of the equipment.|Vol
1928|Wants to know how to do text messaging. Referred him to web site.|Current
771|He hates his phone. He can not understand why we gave him such a horrible "piece of rubbish". I tried to explain that he could bring it in for service, but he just wants a new phone. He does not want to waste any more time with the 3399. I asked customer car|Current
3694|Wants to know how to do text messaging. Referred him to web site.|Current
1365|Handset sucked|Vol
3025|Called about new plan. Might switch soon. Wants more minutes.|Current
1016|Wants to get an additional line working by the end of the week. Forwarded him on to customer care.|Vol
3643|Wants information on our Internet service. Referred him to web site.|Vol
1750|He loves the phone when it works. The problem is that the phone hardly ever works. He thinks the battery is lame. He was replaced it, but still has the same problem.|Current
1243|Can't believe he was stupid enough to sign a year contract. He thinks that we provide the worst service he has ever encountered. Furthermore, the phone is so shitty that he would not give it to an enemy. He now realizes you get what you pay for. I transfe|Vol
2287|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
3592|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Vol
3278|Needed help figuring out his bill. I explained our minute charges.|Vol
2305|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
138|Wants to change address.|Current
160|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
2373|Hopes to get an additonal line working by the end of the week for his wife.|Current
2533|Called about new plan. Might switch soon. Wants more minutes.|Current
1399|Wanted more information on the family plan. Also asked about how he could use call screening.|Current
3823|Said his battery never has worked well. Wants a new phone ASAP.|Vol
3108|Wants to add additional lines for family. Needs more info on rates.|Vol
523|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
2291|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
894|He found a better rate and no contract. He said he cold not wait until his contract expired.|Current
1474|Called about new plan. Might switch soon. Wants more minutes.|Current
1871|He loves the phone when it works. The problem is that the phone hardly ever works. He thinks the battery is lame.|Current
731|Can't believe he was stupid enough to sign a year contract. He thinks that we provide the worst service he has ever encountered. Furthermore, the phone is so shitty that he would not give it to an enemy. He now realizes you get what you pay for. I transfe|Vol
2354|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Vol
967|Called about new plan. Might switch soon. Wants more minutes.|Current
2838|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
1976|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
1501|Needed help figuring out his bill. I explained our minute charges.|Current
1872|can't figure out how to check his vm when out of area. I referred him to our web site.|Current
3460|Wants to know how to do text messaging. Referred him to web site.|Vol
3613|Hopes to get an additonal line working by the end of the week for his wife.|Current
1298|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
1145|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Vol
1163|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
3773|Called about new plan. Might switch soon. Wants more minutes.|Current
309|He does not know if the problems are related to the phone or if it is just the battery.|Vol
3683|Called to change his address and see if he could get a new number since he is moving to a different city.|Vol
1422|Wants to know how to do text messaging. Referred him to web site.|Vol
2661|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
3476|Wants a new faceplate.|Current
1754|I needed a handset which also functioned as a PDA. You did not offer such a model.|Current
24|Asked how to disable call waiting. referred him to web site.|Current
2285|Wants to get an additional line working by the end of the week. Forwarded him on to customer care.|Vol
1495|Needed help figuring out his bill. I explained our minute charges.|Current
95|He asked for a new phone number. I referred him to customer care.|Current
903|Wants a new faceplate.|Vol
2936|He hates his phone. He can not understand why we gave him such a horrible "piece of rubbish". I tried to explain that he could bring it in for service, but he just wants a new phone. He does not want to waste any more time with the 3399. I asked customer car|Current
3434|Wanted to know the nearest store location. Wants to buy additional accessories.|Vol
884|He hated the phone. Claims that the reception is horrible in many parts of the metropolitian area.|Vol
1620|Really wants the new phone from XVYX which has the PDA built in.|Current
1821|Does not like the way the phone works. It is to difficult compared to his last phone.|Current
2664|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
660|Needs help with basic phone usage. I suggested he go back to the store and ask for some help.|Current
455|Called about new plan. Might switch soon. Wants more minutes.|Current
1991|Called about new plan. Might switch soon. Wants more minutes.|Current
1783|The clearity of the calls was bad. Way too much static on the handset.|Vol
2277|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
3068|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
372|He hated the phone. Claims that the reception is horrible in many parts of the metropolitian area.|Vol
2911|Wants information on our Internet service. Referred him to web site.|Vol
3140|Needed help figuring out his bill. I explained our minute charges.|Vol
832|He claimed that the charger never really worked very well. As a result the phone was always dying on him. He could not wait to get out of his current contract.|Current
2505|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
910|Wants to know how to do text messaging. Referred him to web site.|Vol
2189|Wants to know how to do text messaging. Referred him to web site.|Current
3526|Really is unhappy with the website. Claims the self service stuff does not work.|Vol
1791|I wished the handset was bigger. It is uncomfortable using the handset for a long time.|Vol
2599|Said his battery never has worked well. Wants a new phone ASAP.|Current
3123|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
3280|Needed help figuring out his bill. I explained our minute charges.|Vol
2962|Wants to know how to do text messaging. Referred him to web site.|Current
104|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Vol
1498|Needed help figuring out his bill. I explained our minute charges.|Current
3269|Called about new plan. Might switch soon. Wants more minutes.|Current
2678|Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.|Vol
1160|Getting really bad reception with his handset. Hopes this will improve in the near future. Wants to know if this would improve if he switched to 3g.|Current
3329|Asked how to disable call waiting. referred him to web site.|Vol
3800|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
1639|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Current
1955|Asked about how to change his ring tones. Referred him to web site.|Vol
1353|Said his battery never has worked well. Wants a new phone ASAP.|Vol
195|He wanted credit for all these dropped calls. I told him I would pass him onto a supervisor. He was really rude and very upset. Said he could not use us for business purposes because of our useless service.|Vol
1138|Wants to add additional lines for family. Needs more info on rates.|Vol
622|Wants to change address.|Current
206|Wants to add another phone. Contacting provisioning.|Current
1370|He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.|Vol
2554|Wants to get an additional line working by the end of the week. Forwarded him on to customer care.|Vol
673|He says that we keep sending him the bill to the wrong address. We have his correct billing address. I donÆt know why he is not getting it. He was very angry that we shut his service off for not paying. I offered to take a CC, but he was unwilling to do s|Current
1702|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Vol
534|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
456|Called about new plan. Might switch soon. Wants more minutes.|Current
2946|Wanted to know the nearest store location. Wants to buy additional accessories.|Vol
441|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
1479|Called about new plan. Might switch soon. Wants more minutes.|Current
2158|I wished the handset was bigger. It is uncomfortable using the handset for a long time.|Vol
2573|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
2050|Asked about how to change his ring tones. Referred him to web site.|Vol
