ID;Comment;Age;Gender;Music;Activity
41;It's easy to use.It's really easy to turn it on by accident and run the battery down.;25-34;Female;Jazz;Working
42;The interface is incredibly easy to use.Compared to newer devices, the number of songs it can hold is quite small.;25-34;Male;Classical;Working
43;it holds many songsuploading songs is too slow.;>54;Male;Classical;Relaxing
44;It's not that great, really. What I like most about it is that it's NOT Product A!Well, at first it worked great, cycled thru all CDs, etc. But a few weeks later it only played the current CD and then stopped. Now, for no apparent reason, it repeats the current CD over and over. And yes, I have read the manual!;35-44;Male;Rap;Traveling
45;Everything!  Product A rules!  I can't wait to get a video one!Nothing!  It is better than anything else out there!;18-24;Male;R&B;Traveling
46;Ability to carry large amounts of music in a small, lightweight device.Cost;25-34;Female;Classical;Traveling
47;I was worried I was too old for this new fang-dangled technology. But my nephew showed me around the farm, as it were, and it's not as hard to use as I thought it would be.It's so light, light as a feather, that I once accidently left it in my trousers and they both went into the wash!;45-54;Male;Blues;Traveling
48;ease of usecould be smaller like Product A;25-34;Male;Country;Relaxing
49;It has some DJ features like building track list, cross fading, etc. It's very durable also. A friend dropped it once and it still works perfectly.It was a bit expensive, but I think it was worth it.;25-34;Male;Other;Traveling
50;portabilitybattery life;25-34;Female;Rock;Relaxing
51;taking all my music everywhereloosing all my music if it breaks;35-44;Male;Jazz;Relaxing
52;i have a Product A. i like the small size and good sound.lack of a screen.;35-44;Male;Jazz;Traveling
53;ConvenienceNothing;35-44;Male;Folk;Traveling
54;The ability to take my CD collection and have it in one simple, small, portable device.It was slightly confusing to set-up;18-24;Female;Rock;Traveling
55;I can store a lot of music on it.It was rather expensive.;25-34;Female;Rock;Traveling
56;Small, light-weight, and easy to bring along.Limited space for songs. Not expandable.;25-34;Female;Rock;Traveling
57;Drowns out train noise. Light and easy to carry and use, I don't have the patience to download music.A little bulky and I have to remember to change my cds before I get sick of the music.;35-44;Female;Country;Traveling
58;I can listen to the radio on itSometimes the reception isn't that great;25-34;Female;Folk;Traveling
59;It allows me the freedom to listen to my favorite music or programs on my terms. Makes my commute enjoyable.It has no radio.;25-34;Male;Rock;Traveling
60;Ability to carry a huge library of tunes aorund with me in something the size of a credit card.Interface with my PC, which doesn't always work and which requires you be very careful to ensure you don't accidentally remove music from the device.;>54;Male;R&B;Traveling
61;high quality, durable, good soundshort battery life;35-44;Female;Jazz;Relaxing
62;Looks cool.Can't rip songs from it.;25-34;Male;Other;Working
63;it keeps playing. i don't have to stop and change a CD.nothing;18-24;Female;Other;Working
64;Portability and intuitive features of Product ALoss of fidelity due to data compression;25-34;Female;Country;Relaxing
65;"Music choice; lack of skipping (vs. CD players)Battery life is too short.";35-44;Female;Rock;Other
66;Convenience of storing all my music in one deviceIt's somewhat bulky;25-34;Male;Other;Traveling
67;Durably constructedBulky and heavy to carry;25-34;Female;Jazz;Traveling
68;Large storage capacityExpensive compared to other manufacturers;18-24;Female;Other;Relaxing
69;Stores 5000 songs in a compact portable player.Low battery life;35-44;Male;Blues;Relaxing
70;smallhard to rearrange play list on the device;>54;Male;Folk;Traveling
71;Ease of use, simple functionality, elegant design and that it holds a lot of music and goes anywhere I do, headphones, car, home stero, portable speakers.The screen;35-44;Male;Other;Traveling
72;Portable and durablenot enough space on it;>54;Male;Folk;Traveling
73;its design is way coolwould be great if it was not so expensive;45-54;Female;Rock;Traveling
74;great qualitytoo expensive;>54;Male;Classical;Working
75;Small size. It has 512Mb of add-on memory, so it is quick to load and play music. It can also encode directly from external devices from the radio or a CD player.It would be nice if the hard disk capacity were larger. 5Gb would be a sufficent capacity, although I prefer not to sacirifice device size.;25-34;Male;Jazz;Traveling
76;storage capacitycould be smaller;<18;Female;Rap;Studying
77;The software is very cool.Battery;25-34;Male;Rock;Traveling
78;sleek designcost;25-34;Female;Rock;Traveling
79;I like that I can build a bank of music that suits my tastes and cut out all of the songs that often come on Cds along with the one song you likeYou can't use standard batteries in it;45-54;Female;Other;Other
80;Smallmine is old and so it hold only 16 songs LOL;35-44;Male;Rock;Other
81;It's niceIts old;25-34;Female;Other;Traveling
82;Small, handy deviceToo costly still;35-44;Male;Jazz;Traveling
83;It's small & fits in your pocket.It doesn't hold many songs;25-34;Female;Other;Traveling
84;It's just great. I have all my music downloaded onto it now, so no need to find the CD I want to play etc. Really great.Too costly.;25-34;Male;Classical;Relaxing
85;Good quality sound, easy to carrybattery goes dead quite fast;35-44;Female;R&B;Traveling
86;Handybatteries;25-34;Female;Rock;Relaxing
87;Its great look and easy to use interfaceBattery life is not as good as it should be;25-34;Female;Folk;Traveling
88;Easy to use. Has a big screen. Software is easy to use, organizes folders in trees so you can open to investigate or close to save space. 20 GB hard drive.It's old and it's so big! Even though it's 20 GB, it's not big enough.;35-44;Female;Rap;Traveling
89;Small but lots of space (60 GB). Video is a bit of a toy but cool.Software is not great. Can only view all songs, not close sections up so you can view just albums or artists. Can only order items alphabetically.;35-44;Female;Rap;Traveling
90;the colour and sizenothing;25-34;Female;Other;Traveling
91;As well as being able to listen to music, can watch movies, surf internet, etc.Barely any internal storage. I have to purchase seperate storage.;25-34;Female;Other;Traveling
92;Because it is also an organiser, I always carry it with me.Small capacity, poor user interface for music;45-54;Male;Blues;Traveling
93;It's a portable music deviceBattery life. They're are better players on the market.;25-34;Male;Other;Traveling
94;Long battery life. Also when you turn it on it picks up where you left off.It is not loud enough;>54;Male;Classical;Traveling
95;It's beautiful.Have to charge it.;45-54;Female;Classical;Relaxing
96;its tiny and can hold lots of songs and photosIt is too expensive.;<18;Female;Rock;Relaxing
97;It's very small.It's unintuitive menu system.;35-44;Male;Rock;Traveling
98;Big storage capacity, also does videotoo heavy;35-44;Female;Other;Studying
99;stores 2 days worth of musicshort battery life;35-44;Male;Rock;Relaxing
100;Long battery life. Good sound quality.Flimsy construction.;35-44;Male;Rock;Traveling
101;It's portable.Nothing;45-54;Female;Other;Traveling
102;The size and the fact that it has an included FM radioThe battery life time;25-34;Male;Rock;Traveling
103;Its good looking and easy to usebattery life is appalling, also ear phones aren't very good;18-24;Male;Jazz;Traveling
104;Easy to organise my music files. Good battery life.The distinctive earphones are a magnet for muggers.;25-34;Male;Rock;Traveling
105;Small and easy to useCould do with more storage;35-44;Male;Other;Traveling
106;Its so small and cuteToo many cables and things hanging around my ears;45-54;Male;Jazz;Traveling
107;It is portable.The weight.;35-44;Male;Rock;Other
108;It's well designed, light and very easy to use.The battery life could be better;>54;Female;Blues;Relaxing
109;I can always bring it with me. The sound quality is very good.Nothing;>54;Female;Folk;Other
110;It's lightweight, the battery life is very good, cool design.It sometimes freezes.;<18;Male;Blues;Relaxing
111;It is compact, tidy and easy to useI am quite happy with its current features since it serves my purpose;25-34;Female;Rock;Relaxing
112;Not a lot.  I hardly use it.Very limited memory. Slow data speed. Poor battery life.;25-34;Male;Other;Traveling
113;It's portableDoesn't let you take stuff off once it's on there. So when it crashes, and it does, you've lost all your music;45-54;Male;Classical;Traveling
114;Large storage capacity and a good LCD screen for viewing digital photosBattery life limitations;35-44;Male;Blues;Traveling
115;It was a freebie!Limited memory;35-44;Male;Folk;Relaxing
116;Ease of use. Looks good. Compatible with car stereo.Was more expensive than other players.;25-34;Male;Other;Traveling
117;Listening to any songs I like any time I like.The batteries.;35-44;Female;Blues;Traveling
118;I can listen to where ever I am, I don't have to worry about which Cd to take etc have all my music on it so listen to what I like when I like. Also I like the fact that I can plug it into speakers.Takes time to upload music from CD's;25-34;Female;R&B;Traveling
119;It looks good and is very easy to useHeadphones hurt my ear after a while;25-34;Female;Rock;Traveling
120;The sound quality and the ability to record and mix my own play lists.Battery drainage;35-44;Female;Blues;Traveling
121;Storage capacity (40GB)Size;25-34;Male;Other;Working
122;Compact and waterproofsize;35-44;Male;R&B;Other
123;It's soundIt's not also a phone;25-34;Male;Jazz;Traveling
124;size and accessoriescontrols not always easy to manage;25-34;Female;Rock;Relaxing
125;it was freecan only hold about 16 songs;25-34;Female;Rock;Other
126;It's so easy to find the music I like.earphones are a bit uncomfortable.;45-54;Female;Jazz;Traveling
127;It's tough.style is a little clunky;35-44;Male;Rock;Other
128;It's small and holds all of my music.Nothing;25-34;Female;Rock;Working
129;sizebattery life;18-24;Female;Country;Traveling
130;Ease of use and portability.Battery needs to be well-charged.;25-34;Female;Blues;Traveling
131;sizebattery life;25-34;Female;Other;Relaxing
132;sizebattery life;45-54;Male;Other;Other
133;I like the small size of the device. It allows me to keep it in a pocket while I use it so that I don't have to hold it like I would a larger device.My player only holds 256 mb of data, so I can't keep as much music on it as I would like.;35-44;Male;Rock;Traveling
134;The compact designHaving to recharge the battery;35-44;Female;R&B;Other
135;How easy it was to useThe headphones;<18;Male;Blues;Relaxing
136;The amount of music files it holdsThe price;18-24;Female;Classical;Traveling
137;The sizeThe menus are hard to get to;25-34;Female;Country;Studying
138;The sound qualityThe color, I wish it came in a variety of colors to choose from.;>54;Male;Folk;Working
139;I love it. I can listen to old heavy metal and new metal and alternative. Its batteries last for days.Nothing!;18-24;Female;Other;Relaxing
140;Controls are easy to understand and use. It's a well-designed, well-built unit.Battery life is not quite as advertized.;45-54;Male;Other;Traveling
141;portabilitylow battery life;25-34;Male;Rock;Other
142;Easy to carry, and its size.Nothing as such.;25-34;Female;Other;Traveling
143;its costlow battery life;35-44;Male;Folk;Traveling
144;The size makes it convenient to carry around.Don't have any complaints.;45-54;Female;Other;Relaxing
145;Listening while traveling to drown out the noise of crying kids!Forgot how to upload new music!;35-44;Female;Rock;Traveling
146;It has a lot of storage capacity. I can fit a lot of songs on it. Also, it's very lightweight.It was expensive!;45-54;Male;Blues;Traveling
147;"I like the skip-free playback. Also, dragging and dropping songs. It's better than a ""real"" stereo.Battery life is too low. 12 hours sounds like a lot but it is not.";18-24;Female;Rock;Other
148;The online store is great. Also, sound quality is excellent.Four hour charge time too long.;<18;Male;Rap;Relaxing
149;My son bought it for me for my birthday. I feel pretty hip. I like to listen to Mozart when I'm gardening. I love it's light weight. And the design is so sleek!Display is hard to read. My senior eyes need a bigger dispay.;>54;Male;Classical;Relaxing
150;It was cheaper than the overrated Product A.Don't know.;25-34;Male;Jazz;Traveling
151;"This has 256MB of memory; it holds about 50 songs. I've got another chip in my bag with another 50 songs on it. The cool thing about this is, it cost $200 plus $60 for a portable keyboard, and I can run other programs, take notes, as well as listen to music. If I wanted to, I could surf the Web and get e-mail. For a while I even had music videos on it!It's a little heavy. Also seems a bit delicate.";18-24;Male;Rock;Traveling
152;its smallnot enough memory;25-34;Male;Jazz;Relaxing
153;Product A is fantastic. Really sharp design. Headphones are great too, not like the old in-the-ear types that always fell out. Sound quality seems good as well.Don't like the company.;25-34;Male;Country;Relaxing
154;I like that it's light. I use it while commuting and when running. I really like the random play option.Price;25-34;Female;Rock;Traveling
155;small size and ease of usesometimes crashes;25-34;Female;Rock;Traveling
156;you can take it everywherenothing;25-34;Female;R&B;Relaxing
157;huge selection of music at my fingertips when traveling. like bringing your whole stereo with youCompromise on the sound quality vs. a real CD;35-44;Male;Jazz;Traveling
158;I like that it's small and I can take it anywhere with me. Also that it holds so many songs. I currently have almost 500.I think it's not intuitive the way it turns off. I just learned last week that you hold down the pause key to shut it off. I was just always letting it shut off on it's own which has probably wasted the battery. Also, I believe that once you wear out the battery (after recharging it for years and years) you need to replace the product.;35-44;Female;Rock;Other
159;i can listen to whatever i want, whenever i want to.not enough storage for all my music. i have tons of songs.;35-44;Female;R&B;Working
160;It's actually my son's but I use when I exercise. I like that it's so slim and lightweight. It's pretty too.Nothing.  It's fine.;35-44;Male;Country;Other
161;Product A is the best. Drag & drop songs from their site is really easy and I love all the random play options. Like the long battery life.Hard drive is too small;<18;Male;Jazz;Other
162;"Convenience. Easy to use; I'm a technophobe!Wish it had a radio";35-44;Male;Blues;Traveling
163;It's totally smooth. Much better than Product A. I love cranking it up and tuning everyone else out on the train.Wish it came in more colors.;<18;Male;R&B;Relaxing
164;It was much more affordable than Product A.It's not as attractive as Product A;25-34;Female;Other;Working
165;convience, sizeplain looking;25-34;Female;Rock;Relaxing
166;good sound qualityprice;25-34;Male;Rock;Working
167;amount of tunes it holdstoo expensive;35-44;Male;Blues;Traveling
168;it like has all of my songs. i mean all of them, and it still has room for like a gazillion morei hate that i have to load all these song onto it, you would think that they could just put your music on for you.;25-34;Female;Rock;Traveling
169;Well obviously the portability. I love the fact that I can have all my CD collection on the one small device that I can take with me where ever I go. I also like the fact that the battery lasts so long which makes it great for those long plane flights. Its also very easy to copy music from CD to the device.I am not a fan of the company.;35-44;Female;Rock;Traveling
170;The color. It's purple which is my favourite color. I also like the accessories you can buy for it.The battery doesn't seem to last as long as I think it should.;25-34;Female;Other;Working
171;It holds all 6 of my Classical music CD's.Its a little bit too big.;>54;Male;Classical;Traveling
172;it is portable and compact. No CDs required any longerlow battery;35-44;Female;Classical;Relaxing
173;user friendlinessProprietary plugs and software.;25-34;Male;Rock;Traveling
174;practical and fancy!nothing!;25-34;Male;Jazz;Traveling
175;music in a single placenot very reliable. battery is too low;>54;Male;Jazz;Relaxing
176;Size. Weight. Simplicity. Connects directly to the laptop to download songsThere is no menu, so you cannot see what is playing. You can't select a particular track, only move forwards or backwards through the listing. I have no control over the listing other than the order they are copied to the memory.;35-44;Male;Other;Other
177;Ease of Usebattery life;35-44;Male;Folk;Relaxing
178;it has never let me down. has loud volume for my ageing ears.it's quite heavy & bulky.;45-54;Male;Country;Other
179;room for lots of songs, sleek design, software for managing the music on your PC is the bestbattery life, incompatibility with some popular music formats;25-34;Male;Rock;Traveling
180;40gbdifficultly loading songs;35-44;Male;Folk;Traveling
181;"It has really good sound; not the really bad sound I experienced with Product A. I know people think Product A is really cool but I have been so much happier with the design of Product D.I wish it had more space.";45-54;Male;Folk;Other
182;Quality soundIt's shape;>54;Male;Classical;Traveling
183;I can listen anywhere and I can plug into my speaker system. It is small and i can play music during dinner with friends without having a huge sound system in my dining room.I wish it was silver so it would be even less conspicuous;25-34;Female;Jazz;Working
184;Not having to drag my CDs around with meSound quality not too impressive;35-44;Female;Country;Traveling
185;The size. It can take a beating and any jarring won't make the music skip at all. Also, it is small enough to wear around my neck. All of this translates to making exercising and jogging with it easier.The music management software is weak and so is the amount of storage. I have the 512 MB model and it's still too small.;25-34;Male;Rock;Traveling
186;Great sound qualitynothing. its cool;35-44;Male;Rock;Traveling
187;It's way cool, the teacher can't even see the headphone cable.It eats batteries. I have to buy a new one every couple of days.;<18;Male;Rap;Studying
188;The photo feature. I can see my slideshows on it.It synchonizes with my computer very slowly.;>54;Female;Folk;Traveling
189;It gives me time to collect my thoughts and escape some of the stress from the day.  While riding the train, it allows me to sit back and relax and transition to home life.It doesn't have a lot of memory and holds only a small selection of songs.;35-44;Male;Rock;Traveling
190;easy to transporttoo expensive;<18;Female;Other;Relaxing
191;I don't have to carry around CDs.It doesn't look at cool as Product A.;<18;Female;Jazz;Relaxing
192;It has a catchy beat an is easy to dance to.  Color doesn't match any of my cool outfits;35-44;Female;Classical;Working
193;Ease of use, designI only have a 4 gb. Should have gotten a bigger one.;35-44;Female;Country;Traveling
194;CapacityWeight;35-44;Male;Classical;Traveling
195;It was cheapIt's too big;45-54;Male;Other;Traveling
196;Smallhigh price;<18;Male;Other;Studying
197;the sound quality is killer and it holds all of my CDs.It needs a better protective case than the one provided with it. I'm always dropping it.;<18;Male;Rock;Other
198;I like it because I can hear the music clearly.I wish it had longer battery life.;45-54;Female;Folk;Traveling
199;The playlist feature so I can make my own playlists for our bashes.Not enough room for all my music. I need a huge amount of space for all my tunes.;18-24;Male;Rap;Other
200;Its pretty green color.The earbuds are uncomfortable.;25-34;Female;Jazz;Working
201;It rocks. I can download music from the internet.I wish it had longer battery life.;18-24;Male;Other;Traveling
202;It's analogIt's a bit clunky;35-44;Female;Jazz;Other
203;Sound qualitySize;45-54;Male;Blues;Traveling
204;I can load all my favorites and never run out of music. Since it has so much space I can load new tunes without having to remove some of my previous music. I have my whole library of music with me at all times.I wish I could have videos of my favorites along with my music.;25-34;Male;Country;Other
205;It holds all of my music and it is small.It is too expensive.;25-34;Female;Blues;Working
206;easy to transport all my musicnot reliable. We have 4 and all of them had to be replaced;35-44;Male;Classical;Working
207;The designNeed to change batteries all the time.;>54;Female;Other;Other
208;It is small, lightweight and easy to carrynothing;25-34;Female;R&B;Traveling
209;I like how easily it fits into my purse or pocketThe user manual. The descriptions were not very good.;>54;Female;R&B;Working
210;I can put all of my music on it.It is really pricey.;>54;Male;Classical;Relaxing
211;The soundIt's bulky;25-34;Male;Country;Other
212;good mobillitypoor menu system;45-54;Male;Classical;Working
213;Its compact sizeIts battery life.;45-54;Male;Rock;Studying
214;It is reliable.I want it to be smaller.;35-44;Male;Jazz;Relaxing
215;I was given it as a present, so I just like it.I haven't really thought about it since I was given it as a present.;>54;Female;Jazz;Traveling
216;Good Design. Easy to use.Nothing;25-34;Male;Rock;Working
217;All of my music fits on it.All of the necessary accessories do not come with it and they are very expensive.;45-54;Female;Folk;Working
218;capacity to hold a lot of music, ease of use, cool earbudtoo expensive, sound quality could be better, color;>54;Male;Classical;Traveling
219;It fits comfortably in the palm of my handThe directions that came with it.;35-44;Female;Other;Other
220;I use it when I work around the house to listen to Frank and Dean when I can.It is large to carry around and the hook they have for your belt doesn't work well.;>54;Female;Rock;Relaxing
221;Makes me feel young again!I don't understand all of the buttons.;>54;Female;Blues;Traveling
222;It is small and light so I forget I'm carrying it.It broke the bank.;18-24;Male;Rap;Traveling
223;storage capacityexpensive;25-34;Female;Other;Traveling
224;The compact design of the device and the software was very user friendly and easy to installThe battery does not last long;18-24;Male;Country;Traveling
225;that it is portablestorage limits;25-34;Male;Rock;Working
226;its coolnothing;<18;Male;Rap;Studying
227;It's small but holds lots of musicIt was kind of expensive;35-44;Female;Rock;Traveling
228;large storage capacityshort battery time and long recharge time;25-34;Female;Rock;Traveling
229;Well-made, good sound.It falls off of the belt clip sometimes.;25-34;Male;Country;Relaxing
230;I can wear it while I am exercising because it is so small.The battery does not last very long anymore and I can't replace it.;45-54;Female;R&B;Other
231;It can hold all of my child's music. Where ever we are, when my son gets cranky, I can pull it out and in no time he is chilled out.Its accessories cost an arm and a leg.;35-44;Female;Other;Traveling
232;inexpensive, has FM radiodoesn't list tracks;45-54;Male;Country;Traveling
233;It's small and lightThe batteries don't last as long as I'd like;25-34;Female;Jazz;Traveling
234;HandyLess space;35-44;Male;Classical;Traveling
235;Handy for listening to music on the way to work.I like it but now I wish I had Product A.;45-54;Male;R&B;Traveling
236;I can take it anywhere I likeIt needs more bass;18-24;Male;Country;Other
237;I can edit the playlistLousy sound! It doesn't play files I buy online. What a ripoff!;45-54;Female;Jazz;Traveling
238;Style and ease of useBattery and tends to scratch easily;25-34;Female;R&B;Traveling
239;small size and large capacityshort time between recharges;35-44;Male;Rock;Relaxing
240;headphones are good lost of songsbattery is lousy;<18;Male;Rock;Studying
241;small, long battery life, and good soundbuttons are very small and difficult to control;25-34;Female;Rock;Traveling
242;can store lots of songsmaybe a little too heavy;45-54;Female;Blues;Traveling
243;Its size.The cost.;35-44;Male;Rock;Traveling
244;it is easy to use and I like the look of it.it is quite expensive to buy;25-34;Male;Rock;Traveling
245;Multiple formats. Big hard disk. Good battery life and recharge speed. Good download speed.Controls can be a bit fiddly and not quite as cool as Product A;18-24;Male;Other;Traveling
246;It holds lots of songsIts so small, I can never find it;<18;Female;Blues;Relaxing
247;it's bluewant a newer one;18-24;Male;Blues;Studying
248;I can understand how to use it.Nothing, it's fine.;>54;Male;Other;Relaxing
249;small, multi purpose, easy to usebattery life poor, small amount of memory, can't download from internet directly;18-24;Female;Rock;Other
250;small enough to use anywherepoor quality headphones;>54;Male;Classical;Studying
251;incredibly smallit's already full;25-34;Female;Country;Relaxing
252;we can use it everywherequality of headphone;35-44;Male;Rock;Traveling
253;great sounddifficult controls;45-54;Male;Rock;Traveling
254;Nothing special. It does everything well.The color.;35-44;Male;Rock;Other
255;It's multi-purpose. Also it's easy to change music. When plugged into the adapter, the memory card looks like another hard drive.It uses up the internal batter pretty quickly. Not really a problem for me because I don't listen long at one sitting.;45-54;Male;Folk;Traveling
256;looks niceabsence of radio;35-44;Female;Blues;Traveling
257;Its size means I don't have to listen to the teachers.It's a bit big, sometimes teachers spot me listening to it.;<18;Female;R&B;Studying
258;"Small size; large capacity; easy to useA bit cheap-looking";45-54;Male;Rock;Traveling
259;Its size means I can listen to it while working.I can't hear when someone talks to me.;25-34;Male;Other;Working
260;"I find it very convenient and simple to use.It seems slightly unreliable; I think it is a bit buggy.";35-44;Male;Classical;Relaxing
261;Easy to use and my alternative rock songs sound awesome on it!Battery life.;25-34;Female;Rock;Working
262;"How many songs it holdsDisconnecting it from the PC. It always has a ""do not disconnect"" message & I have to manually disconnect the setting.";35-44;Female;Country;Working
263;It's nice and small and fits into my handbag.I have to have a handbag to carry it around.;35-44;Male;Other;Traveling
264;Been using a portable cassette player, but it finally broke. Product A seemed to be the brand to get. I like that they're really light weight. Also, it's easier to skip around from song to song than it is with a tape.Learning how to download songs was odd and I'm still not crazy about the interface.;45-54;Male;Blues;Relaxing
265;It's smallThe attempt at copyright protection, which prohibits the use of downloaded music is annoying.;35-44;Male;Other;Traveling
266;SizeBattery life;25-34;Female;Rap;Other
267;It changes the relationship you have with your music. I've been listening to music a long time and that never happened with cds, tapes, or vinyl.Maybe it trivializes the music a bit too much.;25-34;Male;Rock;Traveling
268;I like that I don't have to fiddle with software to download music. I can just drag my songs onto the memory card and plug it in.The app for playing slongs that comes with the hardware is only so-so. But there are other players available that are really good.;45-54;Male;Rock;Traveling
269;I can put a lot of music on it and it's cool lookingnothing;18-24;Female;R&B;Other
270;Sound quality.It came with a bunch of lame songs loaded.;18-24;Male;Rock;Studying
271;I like that I can listen to my music when I'm at the gym and not have to worry about switching CD's or the CD skipping.I don't like the headphones that came with the device. They hurt my ears. I had to buy a new pair that were comfortable.;25-34;Female;Rock;Other
272;Creating custom playlists, listening to comedy clips downloaded from the WebPoor video quality, not compatible with other audio formats;25-34;Male;Rock;Traveling
273;NothingIt does not sound very good but my folks won't buy me a new one so I'm stuck with it;<18;Female;Blues;Studying
274;Well being a long haul truck driver i really like the fact that there is always music to listen to and that i can turn up the volume real loud when my favorite song comes on.It is too expensive.;>54;Male;Country;Traveling
275;built-in FM tunerUI is kind of awkward;35-44;Male;Classical;Working
276;I like that it's easily portable and that I can take it with me while I'm working at my local coffee shop.I wish the battery life was longer. I find that I have to recharge the device often.;25-34;Female;Classical;Other
277;sizebattery life;45-54;Male;Other;Other
278;I like that I can easily carry a variety of music with me. The new broadcast feature is also great.Their website makes it difficult for me to download tunes.;25-34;Female;Rock;Working
279;lots of storage, ability to store all of my music in one place, listening to books, playlistsheavy;35-44;Female;Country;Traveling
280;The number of songs I can store on it.Battery runs down quickly.;25-34;Female;Rock;Traveling
281;I can access it using different computers. It's also very compact for travelling.I hate that it doesn't have a colour screen;25-34;Female;Rock;Traveling
282;small footprintsoftware;>54;Male;Jazz;Traveling
283;Discrete size.Lack of storage.;35-44;Male;Other;Traveling
284;Great music qualityEasy to misplace;45-54;Female;Rock;Traveling
285;smallI don't like the volume control;25-34;Female;Other;Traveling
286;I can buy just the songs I want on their site.I wish the battery lasted longer;<18;Male;Rock;Traveling
287;the memorynothing;25-34;Female;Rock;Traveling
288;Very convenient, can take it anywhere.It was very hard to set up. I have very little computer experience.;25-34;Male;Folk;Working
289;It's pink.The display smudges easily.;25-34;Female;Rock;Other
290;little size, great capacitynothing;25-34;Female;R&B;Traveling
291;holds lots of songs, can tell which album and song is playing, and by which artistslippery so you need to buy all sorts of holders and a protective case;25-34;Female;Rock;Traveling
292;its colorits size;>54;Male;Classical;Other
293;The smallest, most reliable, best product ever on the market.I can't find it sometimes because it's so small!;25-34;Male;Rock;Traveling
294;Ease of usebad battery life;45-54;Male;R&B;Traveling
295;hand-sized portablenothing;25-34;Female;R&B;Working
296;Design and simplicityThe case gets scuffed up far too easily;25-34;Male;Classical;Traveling
297;its stylin'everyone has one;25-34;Male;Other;Working
298;Uses standard batteriesBulky;>54;Male;Other;Other
299;it holds loads of songs and is easy to usebattery life could be better;25-34;Male;Blues;Relaxing
300;it sounds amazing and i love having all that music available to metoo big...should be the size of a credit card;>54;Female;Classical;Working
